second,total_packets
1431,844
1813,690
3197,425
3198,355
3196,311
3292,290
1897,258
1382,256
1649,235
3291,227
3194,224
3209,213
1434,205
1395,203
1430,199
3200,199
3293,195
3199,192
3313,183
3264,182
3195,182
2141,180
1814,167
2297,164
173,163
3210,157
1499,155
1734,155
1488,152
2453,151
2538,150
1721,149
3312,148
2436,147
2477,143
174,140
2578,140
1657,140
3034,138
1480,138
2798,132
2899,128
2265,127
1394,127
2883,125
2972,124
3326,123
2284,121
1529,120
2445,119
2530,119
1695,118
1812,118
1896,117
1507,116
2311,113
3290,113
1711,111
2601,110
2909,110
1668,110
3079,109
2788,109
2465,108
3069,106
2587,106
1553,106
3265,105
1537,105
1703,105
2980,103
1800,101
29,99
3019,99
1628,99
1621,96
1443,94
2917,92
3061,91
3095,91
2806,90
3314,90
1808,90
323,89
2847,89
3118,88
3045,87
2746,86
2273,86
1545,86
2613,85
1635,84
3140,83
1779,81
1909,80
3110,80
1807,80
2882,79
2517,78
2623,78
2493,77
2509,77
2546,77
1479,77
3006,77
3277,77
2561,76
2834,76
1568,76
1428,75
2988,75
3193,75
3087,73
2154,73
1578,73
2924,72
2854,72
2754,72
3125,72
2891,71
2814,70
3053,70
914,70
1561,70
3310,69
1515,68
1679,67
3201,65
1381,65
2826,64
946,64
1435,64
2588,62
2747,62
3311,61
2310,61
3302,61
1514,61
477,60
2500,59
895,59
2553,59
2995,58
3208,56
3331,56
3103,56
3240,55
3282,54
1650,54
2285,54
2137,53
2508,52
1904,52
2142,52
1538,52
1680,52
1658,51
1786,51
2890,49
2492,49
1444,49
1809,49
1820,49
92,48
3207,48
2855,48
1579,48
890,47
3371,47
1778,46
2920,45
1432,45
3174,45
3252,45
3287,44
860,43
2579,42
3060,42
1560,42
2437,41
2753,41
119,40
3102,40
3300,40
1669,40
1796,40
39,39
1392,39
3354,39
3355,38
2501,37
1189,37
2827,37
1817,37
2418,36
570,36
3317,36
3323,36
181,35
2625,35
2052,35
3463,35
1496,35
1569,35
380,34
1908,34
2996,34
872,34
1116,34
1816,34
3343,33
1442,33
1620,33
1735,33
3294,33
437,32
2300,32
2799,32
2846,32
3557,32
1530,32
248,31
862,31
880,31
1999,31
1379,31
1388,31
3276,31
3046,30
2812,30
123,30
250,30
497,30
3359,30
2491,30
861,30
3254,30
3315,30
2272,30
120,29
3452,29
3502,29
2529,29
3458,29
2149,29
863,29
3328,29
1098,29
1699,29
1851,29
2444,28
3436,28
2901,28
3303,28
1455,28
2971,28
3163,28
369,27
2094,27
1531,27
280,26
3426,26
879,26
2454,26
1696,26
3327,26
96,25
3527,25
3141,25
874,25
1441,25
3132,25
1636,25
2171,25
47,24
126,24
193,24
204,24
885,24
1210,24
1336,24
1427,24
1457,24
3077,24
3242,24
1773,24
152,23
2446,23
436,23
876,23
913,23
2298,23
1989,23
2624,23
1682,23
3257,23
2246,23
1801,23
3333,23
2807,22
399,22
3358,22
3111,22
3239,22
3269,22
379,21
2316,21
1112,21
2466,21
1903,21
3205,21
3353,21
10,20
144,20
197,20
212,20
3531,20
3297,20
3054,20
1146,20
1172,20
1509,20
2264,20
1775,20
1826,20
1849,20
324,19
3284,19
2435,19
2626,19
2787,19
1352,19
2835,19
1402,19
3035,19
1722,19
1811,19
3325,19
1873,19
2144,19
1916,18
2925,18
223,18
362,18
487,18
517,18
646,18
2019,18
2973,18
2918,18
3363,18
1520,18
3238,18
1819,18
9,17
186,17
875,17
3336,17
1176,17
2554,17
3449,17
1391,17
1404,17
1842,17
2214,17
185,16
2562,16
366,16
3119,16
3324,16
3413,16
1998,16
2910,16
3173,16
3175,16
3227,16
3224,16
3267,16
3329,16
1917,15
420,15
3280,15
2478,15
2002,15
2138,15
859,15
873,15
894,15
3301,15
1933,15
1907,15
2629,15
2654,15
3440,15
1546,15
1683,15
3202,15
3268,15
3274,15
1987,14
3501,14
3218,14
478,14
3211,14
967,14
2452,14
1170,14
1985,14
1356,14
2815,14
3228,14
3080,13
48,13
192,13
1997,13
2752,13
2900,13
3020,13
3319,13
1648,13
3286,13
180,12
198,12
279,12
381,12
3204,12
3253,12
483,12
486,12
2153,12
509,12
610,12
2679,12
3283,12
3281,12
1139,12
2001,12
1355,12
1370,12
1386,12
1489,12
1774,12
1894,12
3429,11
102,11
3237,11
242,11
3416,11
2689,11
364,11
367,11
368,11
3230,11
3380,11
893,11
3248,11
3332,11
1145,11
1171,11
1981,11
1456,11
2989,11
1498,11
1592,11
3217,11
3322,11
3339,11
3219,10
153,10
190,10
3259,10
3438,10
2913,10
361,10
438,10
3229,10
3272,10
476,10
3305,10
482,10
1931,10
1946,10
891,10
1109,10
1110,10
1126,10
1140,10
1142,10
3411,10
1193,10
2612,10
3532,10
1363,10
1364,10
1552,10
2147,10
1624,10
3171,10
1739,10
2000,9
2341,9
202,9
215,9
1983,9
3448,9
376,9
2304,9
3417,9
3430,9
3428,9
3435,9
2024,9
2010,9
2096,9
2118,9
2161,9
884,9
3186,9
968,9
3307,9
3318,9
3393,9
3401,9
1117,9
1118,9
3389,9
3427,9
1241,9
3439,9
2676,9
3443,9
1354,9
1371,9
1393,9
3007,9
2004,9
1506,9
2201,9
3225,9
3271,9
3347,9
3275,8
38,8
94,8
3434,8
1924,8
182,8
189,8
1932,8
1986,8
294,8
363,8
484,8
496,8
2345,8
2516,8
1996,8
3425,8
601,8
3422,8
2701,8
3469,8
696,8
2116,8
3289,8
3299,8
3351,8
1113,8
1114,8
1115,8
1120,8
1122,8
1123,8
1125,8
1127,8
1128,8
1130,8
1141,8
1143,8
1982,8
1984,8
3418,8
1235,8
1988,8
2627,8
3437,8
1358,8
1360,8
1367,8
1369,8
1376,8
2098,8
1429,8
1462,8
3033,8
3068,8
3096,8
3126,8
3304,8
1839,8
3316,8
2293,8
1881,8
3405,7
20,7
30,7
41,7
1980,7
2476,7
89,7
95,7
245,7
2276,7
282,7
2586,7
2053,7
3456,7
2955,7
365,7
391,7
458,7
2482,7
2522,7
600,7
640,7
663,7
2810,7
2987,7
892,7
2159,7
920,7
2313,7
3390,7
2342,7
1936,7
3409,7
1144,7
2558,7
3420,7
2580,7
2577,7
2646,7
1357,7
1362,7
2029,7
2898,7
1425,7
1433,7
1453,7
1465,7
1474,7
1481,7
3094,7
1609,7
1627,7
2209,7
3220,7
3255,7
1724,7
3309,7
1843,7
1847,7
1900,7
78,6
93,6
128,6
140,6
150,6
154,6
2023,6
187,6
188,6
191,6
1974,6
295,6
2054,6
2800,6
2085,6
2078,6
358,6
3162,6
421,6
479,6
488,6
596,6
2537,6
3423,6
2600,6
2614,6
2703,6
2842,6
2065,6
3040,6
864,6
3160,6
906,6
910,6
911,6
915,6
921,6
925,6
2317,6
3364,6
1088,6
2358,6
1119,6
1121,6
1129,6
1133,6
3414,6
1175,6
1180,6
3424,6
3431,6
2589,6
1247,6
3421,6
1343,6
1359,6
1365,6
1366,6
3488,6
2026,6
3558,6
2089,6
3550,6
1439,6
1487,6
1500,6
1539,6
1550,6
1674,6
