protocol,second,count
UDP,0,4
ARP,8,3
DNS,9,10
TCP,9,4
TLSv1.3,9,3
TCP,10,11
TLSv1.3,10,9
UDP,13,1
ICMPv6,14,2
ICMPv6,18,2
UDP,20,7
ARP,23,2
DNS,29,8
TCP,29,75
TLSv1.3,29,16
TCP,30,5
TLSv1.2,30,2
ICMPv6,34,4
ARP,36,1
ICMPv6,36,1
ICMPv6,37,2
TLSv1.2,38,2
TCP,38,6
TCP,39,32
TLSv1.2,39,5
ARP,39,2
UDP,40,4
IGMPv2,41,1
ICMPv6,41,1
MDNS,41,3
ARP,41,2
MDNS,42,2
MDNS,45,1
DNS,47,4
TCP,47,12
TLSv1.3,47,8
TLSv1.3,48,7
TCP,48,6
ARP,54,2
UDP,60,4
ARP,61,1
ARP,64,1
ICMPv6,65,2
ARP,70,2
TCP,77,1
ICMPv6,78,2
TCP,78,1
IGMPv2,78,1
MDNS,78,2
TCP,79,1
MDNS,79,2
UDP,80,4
TCP,80,1
TCP,81,1
TCP,82,1
ICMPv6,83,2
TCP,84,1
ICMPv6,88,2
TCP,89,5
TLSv1.3,89,2
TLSv1.2,92,4
TCP,92,34
TLSv1.3,92,9
ARP,92,1
TLSv1.3,93,3
TCP,93,3
TLSv1.3,94,3
TCP,94,3
IGMPv2,94,1
MDNS,94,1
MDNS,95,1
TLSv1.3,95,3
TCP,95,3
TLSv1.3,96,9
TCP,96,15
ICMPv6,96,1
UDP,100,3
ARP,102,2
TLSv1.2,102,3
TCP,102,6
UDP,111,1
ICMPv6,115,2
DNS,119,6
TCP,119,22
TLSv1.3,119,12
TCP,120,10
TLSv1.3,120,15
UDP,120,3
ARP,120,1
TCP,122,4
DNS,123,6
TCP,123,11
TLSv1.2,123,13
TLSv1.3,124,2
TCP,124,3
DNS,126,5
TCP,126,11
TLSv1.3,126,8
TCP,127,3
TLSv1.3,127,2
TCP,128,3
TLSv1.3,128,3
ICMPv6,129,2
TLSv1.3,130,2
TCP,130,1
TCP,131,3
ICMPv6,131,2
ARP,134,2
ICMPv6,136,2
UDP,140,6
UDP,143,1
TLSv1.2,144,6
TCP,144,14
IGMPv2,145,1
MDNS,145,1
MDNS,146,1
ICMPv6,148,2
ARP,149,1
MDNS,149,1
TCP,149,2
TLSv1.3,150,3
TCP,150,3
TCP,152,11
TLSv1.3,152,10
ICMPv6,152,2
TLSv1.3,153,1
TCP,153,6
TLSv1.2,153,3
TLSv1.3,154,2
TCP,154,4
ICMPv6,156,1
MDNS,158,1
TCP,158,2
ICMPv6,158,2
UDP,160,4
IGMPv2,164,1
MDNS,164,1
MDNS,165,2
ARP,166,2
TCP,172,1
TCP,173,75
TLSv1.3,173,33
DNS,173,32
QUIC,173,16
ICMPv6,173,1
TLSv1.2,173,6
TCP,174,74
TLSv1.3,174,28
TLSv1.2,174,10
QUIC,174,13
DNS,174,15
ICMPv6,175,2
ARP,177,1
ICMPv6,179,2
TCP,180,8
UDP,180,4
TLSv1.3,181,15
TCP,181,19
ARP,181,1
TLSv1.3,182,3
TCP,182,5
TCP,185,9
TLSv1.3,185,5
ICMPv6,185,2
TLSv1.3,186,7
TCP,186,10
TLSv1.3,187,3
TCP,187,3
TLSv1.3,188,3
TCP,188,3
TLSv1.3,189,4
TCP,189,4
TLSv1.3,190,5
TCP,190,5
TLSv1.3,191,3
TCP,191,3
TLSv1.3,192,4
TCP,192,7
TLSv1.2,192,2
TLSv1.3,193,10
TCP,193,14
IGMPv2,194,1
ARP,194,2
MDNS,194,1
MDNS,195,2
DNS,197,4
TCP,197,8
TLSv1.3,197,8
TLSv1.3,198,3
TCP,198,5
